id,name,category,is_open_source,sota_rank,release_date,source,last_updated
meshy-4,Meshy-4,3d,0,1,2025-10-01,manual,2026-01-11 15:34:39
tripo-2,Tripo 2.0,3d,0,2,2025-09-01,manual,2026-01-11 15:34:39
instantmesh,InstantMesh,3d,1,3,2025-06-01,manual,2026-01-11 15:34:39
triposr,TripoSR (Stability AI),3d,1,4,2024-03-01,manual,2026-01-11 15:34:39
openlrm,OpenLRM,3d,1,5,2024-01-01,manual,2026-01-11 15:34:39
jinaai-jina-embeddings-v3,jinaai/jina-embeddings-v3,embeddings,1,,,huggingface,2026-01-18T06:57:35.583450
baai-bge-large-en-v1-5,BAAI/bge-large-en-v1.5,embeddings,1,,,huggingface,2026-01-18T06:57:35.583588
baai-bge-small-en-v1-5,BAAI/bge-small-en-v1.5,embeddings,1,,,huggingface,2026-01-18T06:57:35.583623
intfloat-multilingual-e5-large,intfloat/multilingual-e5-large,embeddings,1,,,huggingface,2026-01-18T06:57:35.583650
baai-bge-base-en-v1-5,BAAI/bge-base-en-v1.5,embeddings,1,,,huggingface,2026-01-18T06:57:35.583676
qwen-qwen3-embedding-0-6b,Qwen/Qwen3-Embedding-0.6B,embeddings,1,,,huggingface,2026-01-18T06:57:35.583700
opensearch-project-opensearch-neural-sparse-encoding-doc-v2-distill,opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,embeddings,1,,,huggingface,2026-01-18T06:57:35.583724
facebook-w2v-bert-2-0,facebook/w2v-bert-2.0,embeddings,1,,,huggingface,2026-01-18T06:57:35.583751
mixedbread-ai-mxbai-embed-large-v1,mixedbread-ai/mxbai-embed-large-v1,embeddings,1,,,huggingface,2026-01-18T06:57:35.583812
qwen-qwen3-embedding-8b,Qwen/Qwen3-Embedding-8B,embeddings,1,,,huggingface,2026-01-18T06:57:35.583788
bge-m3,BGE-M3 (BAAI),embeddings,1,1,2024-06-01,manual,2026-01-11 15:34:39
gte-qwen2-7b,GTE-Qwen2-7B (Alibaba),embeddings,1,2,2025-01-01,manual,2026-01-11 15:34:39
e5-mistral-7b,E5-Mistral-7B (Microsoft),embeddings,1,3,2024-03-01,manual,2026-01-11 15:34:39
jina-embeddings-v3,Jina Embeddings v3,embeddings,1,4,2025-02-01,manual,2026-01-11 15:34:39
cohere-embed-v3,Cohere Embed v3,embeddings,0,5,2024-11-01,manual,2026-01-11 15:34:39
qwen-image-edit-2511,"Qwen Image Edit (Alibaba, Nov 2025)",image_edit,1,1,2025-12-01,manual,2026-01-11 15:34:39
flux1-kontext,FLUX.1-Kontext (BFL),image_edit,1,2,2025-06-01,manual,2026-01-11 15:34:39
instructpix2pix,InstructPix2Pix,image_edit,1,3,2023-08-01,manual,2026-01-11 15:34:39
adobe-firefly-edit,Adobe Firefly (Edit),image_edit,0,4,2025-03-01,manual,2026-01-11 15:34:39
ideogram-edit,Ideogram Edit,image_edit,0,5,2025-01-01,manual,2026-01-11 15:34:39
gpt-image-1.5,GPT Image 1.5,image_gen,0,1,2025-12-16,manual,2026-01-11 15:34:39
pony-diffusion-v6-xl,Pony Diffusion V6 XL,image_gen,1,1,,civitai,2026-01-18T06:57:36.242865
gemini-3-pro-image,Gemini 3 Pro Image,image_gen,0,2,2025-12-01,manual,2026-01-11 15:34:39
majicmix-realistic-麦橘写实,majicMIX realistic 麦橘写实,image_gen,1,2,,civitai,2026-01-18T06:57:36.243003
z-image-turbo,Z-Image-Turbo,image_gen,1,3,2025-11-26,manual,2026-01-11 15:34:39
dreamshaper,DreamShaper,image_gen,1,3,,civitai,2026-01-18T06:57:36.243033
flux2-dev,FLUX.2-dev,image_gen,1,4,2025-11-25,manual,2026-01-11 15:34:39
realistic-vision-v6-0-b1,Realistic Vision V6.0 B1,image_gen,1,4,,civitai,2026-01-18T06:57:36.243056
qwen-image-2512,"Qwen Image (Alibaba, Dec 2025)",image_gen,1,5,2025-12-31,manual,2026-01-11 15:34:39
counterfeit-v3-0,Counterfeit-V3.0,image_gen,1,5,,civitai,2026-01-18T06:57:36.243076
meinamix,MeinaMix,image_gen,1,6,,civitai,2026-01-18T06:57:36.243096
rev-animated,ReV Animated,image_gen,1,7,,civitai,2026-01-18T06:57:36.243135
autismmix-sdxl,AutismMix SDXL,image_gen,1,8,,civitai,2026-01-18T06:57:36.243155
juggernaut-xl,Juggernaut XL,image_gen,1,9,,civitai,2026-01-18T06:57:36.243174
pony-realism-🔮,Pony Realism 🔮,image_gen,1,10,,civitai,2026-01-18T06:57:36.243195
cetus-mix,Cetus-Mix,image_gen,1,11,,civitai,2026-01-18T06:57:36.243214
cyberrealistic-pony,CyberRealistic Pony,image_gen,1,12,,civitai,2026-01-18T06:57:36.243236
epicrealism,epiCRealism,image_gen,1,13,,civitai,2026-01-18T06:57:36.243271
prefect-pony-xl,Prefect Pony XL,image_gen,1,14,,civitai,2026-01-18T06:57:36.243291
万象熔炉-|-anything-xl,万象熔炉 | Anything XL,image_gen,1,15,,civitai,2026-01-18T06:57:36.243312
ghostmix,GhostMix,image_gen,1,16,,civitai,2026-01-18T06:57:36.243331
xxmix_9realistic,XXMix_9realistic,image_gen,1,17,,civitai,2026-01-18T06:57:36.243350
cyberrealistic,CyberRealistic,image_gen,1,18,,civitai,2026-01-18T06:57:36.243368
beautiful-realistic-asians,Beautiful Realistic Asians,image_gen,1,19,,civitai,2026-01-18T06:57:36.243386
flux,FLUX,image_gen,1,20,,civitai,2026-01-18T06:57:36.243403
claude-opus-4.5,Claude Opus 4.5,llm_api,0,1,2025-11-01,manual,2026-01-11 15:34:39
gemini-3-pro,gemini-3-pro,llm_api,0,1,,lmarena,2026-01-18T06:57:30.289408
claude-opus-4-5-20251101-thinking-32k,claude-opus-4-5-20251101-thinking-32k,llm_api,0,1,,lmarena,2026-01-18T06:57:30.289220
chatgpt-image-latest-(20251216),chatgpt-image-latest (20251216),llm_api,0,1,,lmarena,2026-01-18T06:57:30.289999
gpt-5-2-(xhigh),GPT-5.2 (xhigh),llm_api,0,1,,artificial_analysis,2026-01-18T06:57:35.435463
