Date,Open,High,Low,Close,Volume
2024-01-02,100.00,100.19,98.98,99.65,950705
2024-01-03,99.65,100.27,99.54,99.87,1255205
2024-01-04,99.87,100.33,98.85,98.96,963499
2024-01-05,98.96,99.87,98.80,99.05,1056267
2024-01-08,99.05,100.62,98.45,99.67,1177676
2024-01-09,99.67,101.29,98.81,101.20,1102726
2024-01-10,101.20,101.36,100.44,100.78,1471288
2024-01-11,100.78,101.39,99.84,100.50,1160678
2024-01-12,100.50,101.27,100.40,101.16,1044171
2024-01-15,101.16,102.64,100.81,102.18,1309893
2024-01-16,102.18,103.03,101.35,102.68,1389296
2024-01-17,102.68,103.32,102.12,102.70,1512596
2024-01-18,102.70,104.28,101.70,103.94,982646
2024-01-19,103.94,105.23,103.74,104.43,1242274
2024-01-22,104.43,105.14,103.16,103.97,1301118
2024-01-23,103.97,105.97,103.23,105.60,1316058
2024-01-24,105.60,107.01,104.71,106.50,1561276
2024-01-25,106.50,107.84,106.38,107.11,1391044
2024-01-26,107.11,109.23,106.22,108.15,1099216
2024-01-29,108.15,109.23,108.07,108.49,1223186
2024-01-30,108.49,108.66,108.10,108.22,1437763
2024-01-31,108.22,108.53,107.35,107.80,1509995
2024-02-01,107.80,108.31,106.59,107.21,1518368
2024-02-02,107.21,109.40,106.87,108.46,1190707
2024-02-05,108.46,109.43,107.42,108.46,1005644
2024-02-06,108.46,108.76,107.63,107.93,1239473
2024-02-07,107.93,108.72,107.87,108.40,1193262
2024-02-08,108.40,109.03,107.19,108.22,1383345
2024-02-09,108.22,109.05,107.47,108.36,937795
2024-02-12,108.36,110.29,107.41,109.42,1458511
2024-02-13,109.42,109.89,108.93,109.09,1344002
2024-02-14,109.09,109.22,107.56,107.83,1013612
2024-02-15,107.83,107.93,107.17,107.23,1005885
2024-02-16,107.23,107.65,105.88,105.95,1512032
2024-02-19,105.95,106.16,105.63,105.94,1143172
2024-02-20,105.94,106.12,104.34,105.24,1595171
2024-02-21,105.24,105.77,104.61,104.75,971531
2024-02-22,104.75,105.06,103.04,103.91,1013007
